epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
         1,  428.273,    0.001,           5.4357,        0.0016112,           8.7048,           14.142,         5.18,         25.8,        0.272,        0.444,         5.57,         32.6,         0.083017,       0.00045194,          0.16414,          0.24761,         1.92,         3.17,        0.167,        0.235,         4.39,         4.48
         2,  821.229,    0.001,          0.59871,       0.00037046,          0.48449,           1.0836,         4.22,         8.55,        0.152,        0.213,         5.73,         7.69,          0.10503,        0.0002677,           0.2073,           0.3126,         1.95,         3.57,        0.131,        0.181,         4.95,         5.04
         3, 1213.745,    0.001,          0.27275,       0.00025721,           0.1822,           0.4552,         2.76,         5.77,        0.124,        0.177,         3.23,         4.72,         0.082778,       0.00020481,         0.017894,          0.10088,         1.82,         3.17,        0.118,        0.158,         1.15,         1.48
         4, 1605.927,    0.001,          0.20153,       0.00026098,          0.13843,          0.34022,         2.33,         4.96,        0.129,        0.178,         2.66,          4.1,          0.18648,       0.00045077,           1.1785,           1.3654,         2.67,         4.78,        0.182,        0.235,         10.2,           12
         5, 1997.559,    0.001,         0.095807,       0.00023046,         0.077291,          0.17333,          1.8,         3.42,        0.124,        0.168,         1.72,         3.07,         0.096738,       0.00020898,        0.0087044,          0.10565,         1.87,         3.44,         0.12,         0.16,        0.848,         1.03
         6, 2389.225,    0.001,         0.069634,        0.0002161,         0.024525,         0.094375,         1.55,         2.92,         0.12,        0.162,         1.28,         1.73,          0.10052,       0.00017997,         0.024746,          0.12544,         1.98,         3.48,        0.111,        0.148,         1.61,         1.74
         7, 2780.787,    0.001,         0.055186,       0.00018447,         0.022048,         0.077418,         1.39,          2.6,        0.111,         0.15,         1.23,         1.64,          0.10585,       0.00016475,         0.022015,          0.12802,         2.13,         3.56,        0.106,        0.142,        0.988,         1.64
         8, 3171.964,    0.001,         0.044493,       0.00014429,          0.01517,         0.059808,         1.23,         2.33,       0.0975,        0.133,        0.863,         1.36,         0.039469,       0.00012939,        0.0085216,          0.04812,         1.13,         2.18,       0.0903,        0.126,        0.803,         1.02
         9, 3563.932,    0.001,         0.039655,       0.00011752,        0.0085179,          0.04829,         1.15,          2.2,       0.0874,         0.12,        0.769,         1.02,         0.032636,       0.00010398,         0.020181,         0.052921,        0.994,         1.98,       0.0801,        0.113,         1.22,         1.57
        10, 3955.050,    0.001,         0.036599,       0.00010037,        0.0073597,         0.044059,         1.08,         2.11,       0.0801,        0.111,        0.699,        0.948,         0.037675,       7.6347e-05,        0.0055003,         0.043252,         1.12,         2.12,       0.0694,       0.0966,        0.637,         0.82
        11, 4346.735,    0.001,         0.033959,       9.3355e-05,        0.0055213,         0.039574,         1.02,         2.04,        0.077,        0.107,        0.625,        0.821,         0.026998,       8.0503e-05,        0.0046763,         0.031755,        0.914,         1.79,       0.0692,       0.0992,        0.584,        0.757
        12, 4738.516,    0.001,         0.032713,       8.8318e-05,        0.0050419,         0.037843,        0.984,            2,       0.0743,        0.104,        0.584,        0.785,         0.031359,       7.0664e-05,         0.015524,         0.046954,        0.952,         1.95,       0.0651,       0.0929,         1.14,         1.38
        13, 5130.042,    0.001,          0.03182,       8.7547e-05,        0.0041993,         0.036107,        0.958,         1.97,       0.0738,        0.103,        0.546,        0.716,         0.027141,        8.487e-05,        0.0079206,         0.035147,        0.895,          1.8,       0.0721,        0.102,        0.749,        0.985
        14, 5521.531,    0.001,         0.030878,       8.5519e-05,        0.0036883,         0.034651,        0.927,         1.94,       0.0723,        0.102,        0.515,        0.671,         0.026031,       9.1537e-05,        0.0016012,         0.027723,        0.838,         1.76,       0.0762,        0.106,        0.334,        0.443
        15, 5913.088,    0.001,         0.030458,       9.5646e-05,        0.0032325,         0.033786,        0.916,         1.93,       0.0755,        0.108,        0.482,        0.628,         0.026582,       8.0859e-05,         0.009718,         0.036381,        0.813,         1.78,        0.066,       0.0994,        0.943,         1.09
        16, 6304.342,    0.001,         0.030245,       9.9157e-05,        0.0033643,         0.033709,        0.909,         1.92,       0.0758,         0.11,        0.485,        0.641,         0.026764,        0.0001165,         0.001661,         0.028541,        0.856,         1.79,       0.0843,        0.119,        0.349,        0.451
        17, 6695.638,    0.001,         0.029896,       0.00010256,        0.0029345,         0.032933,          0.9,         1.91,       0.0762,        0.112,        0.452,        0.599,         0.027362,       0.00010944,        0.0018602,         0.029331,         0.87,         1.81,       0.0798,        0.116,        0.375,        0.477
        18, 7086.603,    0.001,         0.029927,        0.0001094,        0.0024155,         0.032452,        0.898,         1.91,       0.0788,        0.116,        0.421,        0.543,         0.026179,       9.8481e-05,        0.0022053,         0.028483,        0.808,         1.78,       0.0739,         0.11,        0.399,         0.52
        19, 7477.643,    0.001,         0.029499,       0.00010369,        0.0027234,         0.032326,        0.887,          1.9,       0.0766,        0.113,        0.433,        0.577,         0.027488,       0.00011704,        0.0033748,         0.030979,        0.896,         1.81,       0.0798,         0.12,        0.481,        0.643
        20, 7868.775,    0.001,         0.029525,       0.00011017,        0.0021838,         0.031819,        0.889,          1.9,       0.0788,        0.116,        0.396,        0.516,         0.026929,       0.00010124,        0.0025629,         0.029593,        0.844,          1.8,       0.0776,        0.111,        0.479,        0.561
        21, 8259.847,    0.001,         0.029362,        0.0001071,        0.0022262,         0.031695,        0.885,         1.89,       0.0777,        0.114,        0.398,        0.521,         0.025912,       0.00010362,        0.0014211,         0.027437,        0.822,         1.76,       0.0772,        0.113,        0.319,        0.417
