epoch, wall, LR,training_loss_virial,training_loss_f,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,validation_loss_virial,validation_loss_f,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse
         1,   58.794,    0.001,           3.5332,        0.0039598,           3.5372,         5.72,         20.9,        0.508,        0.698,          0.44003,        0.0015181,          0.44155,         4.49,         7.35,        0.327,        0.432
         2,  107.760,    0.001,           0.7604,         0.001039,          0.76144,          4.7,         9.68,        0.263,        0.358,         0.095272,       0.00043321,         0.095705,         1.74,         3.43,         0.17,        0.231
         3,  156.625,    0.001,          0.44586,       0.00044879,          0.44631,         3.49,         7.41,        0.172,        0.235,          0.10041,       0.00028998,           0.1007,         1.98,         3.52,        0.143,        0.189
         4,  205.446,    0.001,          0.43378,       0.00034481,          0.43413,         3.34,          7.3,        0.149,        0.206,          0.68229,       0.00018643,          0.68247,         5.13,         9.17,        0.111,        0.151
         5,  254.283,    0.001,          0.22461,       0.00016401,          0.22478,         2.51,         5.26,        0.104,        0.142,          0.41245,        0.0001066,          0.41256,         4.14,         7.12,       0.0819,        0.115
         6,  303.055,    0.001,          0.22257,       0.00010606,          0.22268,         2.59,         5.24,       0.0818,        0.114,         0.094657,       7.9765e-05,         0.094736,          1.7,         3.42,       0.0726,       0.0991
         7,  352.209,    0.001,          0.11862,        8.641e-05,          0.11871,          1.9,         3.82,       0.0732,        0.103,         0.077525,       6.6801e-05,         0.077592,         1.48,         3.09,       0.0662,       0.0907
         8,  401.180,    0.001,          0.11389,       7.8173e-05,          0.11396,         1.87,         3.74,       0.0697,       0.0981,         0.067918,       0.00014923,         0.068068,         1.48,          2.9,        0.101,        0.136
         9,  450.246,    0.001,         0.096069,       6.6464e-05,         0.096135,         1.72,         3.44,       0.0639,       0.0905,         0.085946,       6.3972e-05,          0.08601,         1.81,         3.25,       0.0623,       0.0887
        10,  499.141,    0.001,         0.059758,       5.5741e-05,         0.059814,         1.37,         2.71,       0.0577,       0.0828,         0.051561,        4.756e-05,         0.051609,          1.3,         2.52,       0.0521,       0.0765
        11,  548.069,    0.001,         0.068939,       6.8292e-05,         0.069008,         1.41,         2.91,       0.0622,       0.0917,         0.049615,       4.7671e-05,         0.049663,         1.37,         2.47,       0.0527,       0.0766
        12,  597.004,    0.001,         0.050324,       5.0814e-05,         0.050375,         1.24,         2.49,       0.0552,        0.079,         0.073253,       7.0558e-05,         0.073323,         1.49,            3,       0.0661,       0.0932
        13,  646.402,    0.001,         0.047128,       5.1132e-05,         0.047179,         1.19,         2.41,       0.0542,       0.0793,         0.032376,       3.9538e-05,         0.032415,        0.924,            2,       0.0473,       0.0698
        14,  695.568,    0.001,         0.040909,        5.168e-05,         0.040961,         1.08,         2.24,       0.0553,       0.0797,         0.046389,       5.6366e-05,         0.046445,         1.26,         2.39,       0.0583,       0.0833
        15,  744.474,    0.001,          0.03925,       4.6633e-05,         0.039297,         1.05,          2.2,       0.0514,       0.0758,          0.03585,       6.0696e-05,         0.035911,         1.05,          2.1,       0.0621,       0.0864
        16,  793.390,    0.001,         0.036901,       4.4219e-05,         0.036945,         1.01,         2.13,       0.0504,       0.0738,         0.033089,       3.8989e-05,         0.033128,         0.94,         2.02,       0.0455,       0.0693
        17,  842.555,    0.001,         0.035726,       4.3013e-05,         0.035769,         0.98,          2.1,       0.0493,       0.0728,         0.033663,        4.003e-05,         0.033703,        0.975,         2.04,        0.047,       0.0702
        18,  891.606,    0.001,         0.034492,       4.1724e-05,         0.034534,        0.952,         2.06,       0.0483,       0.0717,          0.03388,       4.2125e-05,         0.033922,        0.904,         2.05,       0.0493,        0.072
        19,  940.715,    0.001,         0.034222,       3.9511e-05,         0.034262,        0.939,         2.05,       0.0461,       0.0697,         0.032096,       4.4939e-05,         0.032141,        0.934,         1.99,       0.0515,       0.0744
        20,  989.915,    0.001,         0.033975,        4.049e-05,         0.034016,        0.927,         2.05,        0.047,       0.0706,         0.032003,        3.998e-05,         0.032043,        0.868,         1.99,        0.047,       0.0702
        21, 1039.033,    0.001,          0.03297,       3.6939e-05,         0.033007,        0.918,         2.02,        0.044,       0.0674,         0.032452,       4.7849e-05,           0.0325,        0.932,            2,       0.0517,       0.0768
        22, 1087.974,    0.001,         0.032598,       3.4393e-05,         0.032633,          0.9,            2,       0.0417,       0.0651,         0.034499,       3.1001e-05,          0.03453,        0.912,         2.06,       0.0372,       0.0618
        23, 1136.895,    0.001,         0.032682,       3.4556e-05,         0.032717,        0.889,         2.01,       0.0415,       0.0652,         0.035171,       3.2138e-05,         0.035203,         1.04,         2.08,       0.0374,       0.0629
        24, 1185.980,    0.001,         0.032338,       3.2371e-05,         0.032371,        0.881,         1.99,       0.0393,       0.0631,         0.032017,       3.7347e-05,         0.032055,        0.901,         1.99,       0.0431,       0.0678
        25, 1235.296,    0.001,         0.032234,       3.3218e-05,         0.032267,        0.876,         1.99,       0.0401,        0.064,         0.031875,       3.2783e-05,         0.031908,        0.889,         1.98,       0.0367,       0.0635
        26, 1284.436,    0.001,         0.032086,       3.0654e-05,         0.032117,        0.868,         1.99,        0.037,       0.0614,         0.033626,       3.9768e-05,         0.033665,         0.99,         2.04,       0.0464,         0.07
        27, 1333.850,    0.001,         0.031902,       3.0408e-05,         0.031932,        0.863,         1.98,       0.0368,       0.0612,         0.031559,       3.2492e-05,         0.031591,        0.876,         1.97,       0.0364,       0.0633
        28, 1383.214,    0.001,          0.03204,       3.0713e-05,         0.032071,        0.865,         1.99,       0.0369,       0.0615,         0.031371,       3.0366e-05,         0.031401,         0.84,         1.97,       0.0342,       0.0611
        29, 1432.455,    0.001,         0.031765,       3.0565e-05,         0.031795,        0.857,         1.98,       0.0369,       0.0614,         0.031171,       3.3785e-05,         0.031205,         0.86,         1.96,       0.0385,       0.0645
        30, 1481.644,    0.001,          0.03193,       2.9334e-05,         0.031959,        0.854,         1.98,        0.035,       0.0601,         0.031411,       3.0063e-05,         0.031441,        0.849,         1.97,       0.0333,       0.0608
