epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
         1,   56.357,    0.001,           1.9691,        0.0016964,           1.2811,           3.2519,          5.2,         15.4,        0.321,        0.453,         4.85,         12.5,           0.1227,       0.00078856,         0.015121,          0.13861,         2.41,         3.86,        0.229,        0.309,         1.02,         1.35
         2,  104.206,    0.001,          0.50743,       0.00053941,          0.17365,          0.68163,         3.99,         7.84,        0.186,        0.256,         3.53,         4.59,          0.14165,       0.00039702,         0.031449,          0.17349,         2.45,         4.15,        0.158,        0.219,         1.39,         1.96
         3,  152.403,    0.001,          0.16719,        0.0003025,         0.057266,          0.22476,         2.44,          4.5,        0.139,        0.191,         2.04,         2.63,          0.15826,       0.00022059,          0.04832,           0.2068,         2.57,         4.38,        0.118,        0.163,         2.31,         2.42
         4,  199.905,    0.001,          0.28331,       0.00031532,         0.089476,           0.3731,         2.89,         5.86,        0.141,        0.195,          2.4,         3.29,          0.06047,       0.00027216,           0.2038,          0.26455,          1.5,         2.71,        0.135,        0.182,         4.57,         4.97
         5,  247.711,    0.001,          0.19105,       0.00030622,          0.10352,          0.29488,         2.44,         4.81,        0.139,        0.193,          2.7,         3.54,          0.38827,        0.0002054,         0.039261,          0.42774,         3.95,         6.86,        0.113,        0.158,         2.07,         2.18
         6,  295.764,    0.001,          0.11594,       0.00025196,         0.057733,          0.17392,         1.98,         3.75,        0.126,        0.175,         2.01,         2.64,         0.099655,       0.00018712,         0.010391,          0.11023,         1.99,         3.47,        0.108,        0.151,        0.825,         1.12
         7,  344.057,    0.001,          0.10747,       0.00024571,         0.043424,          0.15114,         1.94,         3.61,        0.125,        0.173,         1.77,         2.29,          0.17803,       0.00041856,         0.031479,          0.20993,          2.7,         4.65,        0.167,        0.225,         1.71,         1.95
         8,  391.929,    0.001,         0.089541,       0.00024948,         0.045155,          0.13495,         1.77,         3.29,        0.126,        0.174,         1.79,         2.34,          0.16732,        0.0002483,         0.046505,          0.21408,         2.62,          4.5,        0.128,        0.173,         2.29,         2.37
         9,  440.353,    0.001,         0.072269,       0.00021129,         0.030723,           0.1032,          1.6,         2.96,        0.116,         0.16,         1.51,         1.93,         0.057701,       0.00023644,         0.008295,         0.066233,         1.59,         2.65,        0.126,        0.169,        0.875,            1
        10,  488.670,    0.001,          0.06101,        0.0002021,         0.027095,         0.088307,         1.48,         2.72,        0.114,        0.156,          1.4,         1.81,         0.054315,       0.00032604,         0.025321,         0.079962,         1.47,         2.57,        0.147,        0.199,         1.35,         1.75
        11,  536.322,    0.001,         0.062615,       0.00020261,         0.026624,         0.089442,         1.47,         2.75,        0.113,        0.157,         1.33,          1.8,          0.03873,       0.00019885,         0.016575,         0.055504,         1.19,         2.17,        0.116,        0.155,          1.3,         1.42
        12,  584.502,    0.001,         0.052363,       0.00014898,         0.012549,         0.065061,         1.36,         2.52,       0.0976,        0.134,        0.945,         1.23,         0.034853,       0.00014555,         0.011361,         0.046359,         1.05,         2.06,        0.096,        0.133,        0.928,         1.17
        13,  632.968,    0.001,         0.046235,        0.0001328,         0.013771,         0.060139,         1.26,         2.37,       0.0912,        0.127,        0.946,         1.29,         0.042957,       0.00014096,        0.0074385,         0.050537,         1.23,         2.28,        0.096,        0.131,        0.718,        0.949
        14,  680.619,    0.001,         0.044906,       0.00013087,         0.013254,         0.058292,         1.24,         2.33,       0.0901,        0.126,        0.957,         1.27,         0.054672,       9.1566e-05,        0.0039007,         0.058665,         1.48,         2.58,       0.0765,        0.105,        0.555,        0.688
        15,  728.473,    0.001,         0.041908,       0.00011255,        0.0097913,         0.051812,         1.16,         2.25,       0.0825,        0.117,        0.815,         1.09,          0.02862,        0.0001056,         0.012771,         0.041497,        0.928,         1.87,       0.0794,        0.113,         1.13,         1.24
        16,  776.748,    0.001,         0.037519,       9.8774e-05,        0.0087336,         0.046352,          1.1,         2.13,       0.0773,        0.109,        0.773,         1.03,          0.04425,       0.00017723,        0.0092463,         0.053674,         1.22,         2.32,         0.11,        0.147,        0.852,         1.06
        17,  825.133,    0.001,         0.038083,       9.9609e-05,        0.0062395,         0.044423,         1.11,         2.15,       0.0767,         0.11,        0.664,         0.87,         0.034854,       0.00011565,        0.0042601,         0.039229,         1.14,         2.06,       0.0838,        0.118,        0.571,        0.719
        18,  873.058,    0.001,         0.035796,        9.245e-05,        0.0068472,         0.042735,         1.05,         2.08,       0.0736,        0.106,        0.695,        0.911,         0.033387,       0.00013327,        0.0050148,         0.038535,         1.04,         2.01,       0.0896,        0.127,        0.541,         0.78
        19,  921.154,    0.001,         0.035017,       9.2464e-05,        0.0064264,         0.041536,         1.04,         2.06,       0.0737,        0.106,        0.657,        0.883,         0.027061,       8.0106e-05,        0.0025573,         0.029698,        0.843,         1.81,       0.0666,       0.0986,        0.428,        0.557
        20,  969.181,    0.001,         0.033292,       8.7712e-05,        0.0061259,         0.039505,        0.998,         2.01,        0.071,        0.103,        0.645,        0.862,         0.032805,       6.4813e-05,        0.0024703,          0.03534,        0.959,            2,       0.0594,       0.0887,        0.426,        0.547
        21, 1016.791,    0.001,         0.032732,       8.5531e-05,        0.0054223,         0.038239,        0.983,         1.99,         0.07,        0.102,        0.607,        0.811,         0.038648,       6.4227e-05,        0.0039686,         0.042681,         1.18,         2.17,        0.058,       0.0883,        0.552,        0.693
        22, 1064.437,    0.001,         0.032854,       8.5292e-05,         0.003797,         0.036736,        0.991,         1.99,       0.0701,        0.102,        0.515,        0.678,         0.028656,       7.3361e-05,        0.0040861,         0.032815,        0.887,         1.87,       0.0654,       0.0943,        0.591,        0.704
