epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
         1,  110.833,    0.001,           1.6913,        0.0011394,           0.7035,           2.3959,         4.18,         14.4,        0.259,        0.373,          3.8,         9.27,         0.055003,       0.00041036,         0.016945,         0.072358,         1.48,         2.59,        0.166,        0.224,         1.15,         1.44
         2,  210.554,    0.001,          0.29602,       0.00033706,          0.11454,           0.4109,         2.98,         6.01,        0.149,        0.203,         2.83,         3.74,         0.055604,        0.0002294,         0.012174,         0.068007,         1.41,         2.58,        0.121,        0.167,         1.08,         1.22
         3,  310.174,    0.001,          0.13624,       0.00023579,         0.062207,          0.19868,         2.15,         4.08,        0.124,         0.17,         2.15,         2.76,         0.053235,       0.00021466,         0.021026,         0.074476,         1.38,         2.52,        0.122,        0.162,         1.52,          1.6
         4,  409.563,    0.001,          0.11228,       0.00027975,         0.058456,          0.17102,         1.93,          3.7,        0.134,        0.185,            2,         2.67,         0.075299,       0.00017798,         0.050524,            0.126,         1.76,            3,        0.108,        0.147,         2.29,         2.48
         5,  508.986,    0.001,         0.065366,       0.00018666,         0.027282,         0.092835,         1.54,         2.83,         0.11,        0.151,         1.42,         1.83,         0.097372,       0.00017294,         0.017662,          0.11521,         1.92,         3.45,        0.107,        0.145,         1.27,         1.47
         6,  608.453,    0.001,         0.053931,       0.00016223,         0.019624,         0.073717,         1.38,         2.57,        0.102,        0.141,         1.17,         1.55,         0.035331,       8.7059e-05,         0.010597,         0.046015,         1.12,         2.05,       0.0757,        0.103,         0.82,         1.14
         7,  707.950,    0.001,         0.046092,       0.00012859,         0.014198,         0.060419,         1.25,         2.37,       0.0894,        0.125,        0.979,         1.32,         0.035876,       0.00013219,         0.037324,         0.073333,         1.11,         2.06,       0.0917,        0.127,          1.7,         2.13
         8,  807.253,    0.001,         0.039438,       0.00010925,        0.0077371,         0.047285,         1.14,         2.19,       0.0816,        0.115,        0.731,        0.972,         0.034569,       8.9059e-05,          0.01228,         0.046939,         1.08,         2.03,        0.073,        0.104,         1.06,         1.22
         9,  906.613,    0.001,         0.036063,       9.5452e-05,        0.0067079,         0.042866,         1.07,          2.1,       0.0752,        0.108,        0.667,        0.905,         0.036809,       0.00017161,        0.0057459,         0.042726,         1.09,          2.1,       0.0997,        0.145,        0.637,        0.836
        10, 1006.558,    0.001,         0.033872,       8.8449e-05,        0.0055505,         0.039511,         1.02,         2.03,       0.0714,        0.104,        0.615,        0.823,         0.035363,       0.00011657,        0.0051979,         0.040678,         1.05,         2.06,       0.0833,        0.119,        0.614,        0.798
