       Step     Time          Energy          fmax
LBFGS:    0 12:16:08    -1105.682861        0.106410
LBFGS:    1 12:16:10    -1105.684326        0.103069
LBFGS:    2 12:16:17    -1105.705566        0.040781
LBFGS:    3 12:16:18    -1105.706177        0.044847
LBFGS:    4 12:16:19    -1105.707275        0.045721
LBFGS:    5 12:16:19    -1105.709106        0.038131
LBFGS:    6 12:16:20    -1105.710449        0.038441
LBFGS:    7 12:16:21    -1105.711060        0.041666
LBFGS:    8 12:16:22    -1105.711304        0.035328
LBFGS:    9 12:16:23    -1105.711792        0.022452
LBFGS:   10 12:16:24    -1105.712402        0.022594
LBFGS:   11 12:16:25    -1105.712891        0.023733
LBFGS:   12 12:16:25    -1105.713135        0.028653
LBFGS:   13 12:16:26    -1105.713257        0.024548
LBFGS:   14 12:16:27    -1105.713379        0.016122
LBFGS:   15 12:16:28    -1105.713623        0.015976
LBFGS:   16 12:16:29    -1105.713989        0.016534
LBFGS:   17 12:16:30    -1105.714233        0.024742
LBFGS:   18 12:16:33    -1105.714355        0.022460
LBFGS:   19 12:16:34    -1105.714355        0.016810
LBFGS:   20 12:16:34    -1105.714478        0.012196
LBFGS:   21 12:16:35    -1105.714722        0.011194
LBFGS:   22 12:16:36    -1105.714966        0.018501
LBFGS:   23 12:16:37    -1105.714966        0.018114
LBFGS:   24 12:16:38    -1105.715088        0.013899
LBFGS:   25 12:16:39    -1105.715088        0.008181
       Step     Time          Energy          fmax
LBFGS:    0 12:16:41    -1105.690186        0.206117
LBFGS:    1 12:16:42    -1105.692139        0.196659
LBFGS:    2 12:16:48    -1105.714600        0.093653
LBFGS:    3 12:16:49    -1105.715210        0.079228
LBFGS:    4 12:16:50    -1105.717041        0.061068
LBFGS:    5 12:16:51    -1105.719482        0.049221
LBFGS:    6 12:16:51    -1105.721558        0.041099
LBFGS:    7 12:16:55    -1105.722290        0.040736
LBFGS:    8 12:16:55    -1105.722656        0.031328
LBFGS:    9 12:16:56    -1105.723022        0.025366
LBFGS:   10 12:16:57    -1105.723755        0.023352
LBFGS:   11 12:17:06    -1105.724365        0.031065
LBFGS:   12 12:17:07    -1105.724731        0.035027
LBFGS:   13 12:17:07    -1105.724854        0.028842
LBFGS:   14 12:17:08    -1105.724976        0.019224
LBFGS:   15 12:17:09    -1105.725220        0.019287
LBFGS:   16 12:17:10    -1105.725464        0.016196
LBFGS:   17 12:17:11    -1105.725708        0.024620
LBFGS:   18 12:17:12    -1105.725708        0.021565
LBFGS:   19 12:17:12    -1105.725830        0.015065
LBFGS:   20 12:17:13    -1105.725952        0.017526
LBFGS:   21 12:17:14    -1105.726074        0.016560
LBFGS:   22 12:17:15    -1105.726318        0.015065
LBFGS:   23 12:17:16    -1105.726318        0.012654
LBFGS:   24 12:17:17    -1105.726318        0.009134
